,//,,,,,,,, ida
Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-03-08 11:23:33,create,1 - uppgift 4,0,,,0,,,0m 42.7s
2021-02-16 13:57:39,create,1 - uppgift 3,9,,,9,,,6m 44.3s
2021-02-02 14:00:33,create,3b - uppgift 6,0,,,0,,,0m 2.6s
2021-02-02 13:59:47,create,3b - uppgift 7,2,,,6,,,0m 40.2s
2021-02-02 13:59:15,create,3b - uppgift 5,1,,,3,,,0m 27.4s
2021-02-02 13:58:08,create,5 - uppgift 3,2,,,6,,,0m 48.3s
2021-02-02 13:57:36,create,5 - uppgift 5,1,,,3,,,0m 23.8s
2021-02-02 13:57:03,create,4 - uppgift 2,1,,,4,,,0m 22.4s
2021-02-02 13:55:08,create,4 - uppgift 4,5,,,15,,,1m 47.3s
2021-02-02 13:54:27,create,4 - uppgift 3,2,,,4,,,0m 37.2s
2021-02-02 13:51:25,create,4 - uppgift 1,6,,,24,,,3m 0.3s
2021-02-02 13:47:58,create,4 - uppgift 2,9,,,36,,,3m 20.8s
2021-01-29 09:21:19,create,6 - uppgift 3,3,,,15,,,1m 11.4s
2021-01-29 09:20:53,create,6 - uppgift 5,1,,,5,,,0m 23.8s
2021-01-29 09:19:53,create,5 - uppgift 6,2,,,10,,,0m 50.3s
2021-01-29 09:18:55,create,5 - uppgift 6,2,,,10,,,0m 56.0s
2021-01-29 09:18:11,create,5 - uppgift 5,2,,,6,,,0m 40.9s
2021-01-29 09:18:08,create,5 - uppgift 2,0,,,0,,,0m 1.9s
2021-01-29 09:16:29,create,5 - uppgift 1,4,,,20,,,1m 36.7s
2021-01-29 09:14:57,create,5 - uppgift 3,4,,,12,,,1m 30.2s
2021-01-29 09:13:13,create,5 - uppgift 3,4,,,12,,,1m 41.6s
2021-01-26 13:58:23,create,3b - uppgift 2,6,,,18,,,2m 7.5s
2021-01-26 13:48:04,create,3b - uppgift 5,8,,,24,,,5m 58.3s
2021-01-26 13:46:19,create,3b - uppgift 6,5,,,15,,,1m 29.2s
2021-01-26 13:45:47,create,3b - uppgift 7,1,,,3,,,0m 16.8s
2021-01-26 13:43:48,create,3b - uppgift 4,4,,,12,,,1m 54.9s
2021-01-26 13:37:42,create,3b - uppgift 5,12,,,36,,,6m 2.4s
2021-01-26 13:35:37,create,3b - uppgift 5,5,,,15,,,1m 58.2s
2021-01-26 13:35:04,create,3a - uppgift 9,1,,,3,,,0m 14.7s
2021-01-26 13:34:02,create,3a - uppgift 7,3,,,9,,,0m 53.2s
2021-01-26 13:33:27,create,3a - uppgift 2,2,,,6,,,0m 33.6s
2021-01-26 13:32:25,create,3a - uppgift 5,4,,,12,,,0m 58.2s
2021-01-26 13:31:16,create,3a - uppgift 9,3,,,9,,,0m 53.3s
2021-01-26 13:30:09,create,3a - uppgift 10,3,,,9,,,1m 2.8s
2021-01-26 13:29:51,create,3a - uppgift 3,1,,,3,,,0m 14.1s
2021-01-26 13:27:22,create,3a - uppgift 9,5,,,15,,,2m 22.9s
2020-12-15 13:25:10,create,1 - uppgift 6,15,,,15,,,2m 3.0s
2020-12-15 13:23:58,create,1 - uppgift 4,11,,,11,,,1m 9.8s
2020-12-15 13:23:28,create,1 - uppgift 1,3,,,3,,,0m 26.5s
2020-12-15 13:23:24,create,2 - uppgift 3,0,,,0,,,0m 1.9s
2020-12-15 13:22:00,create,4 - uppgift 5,3,,,15,,,1m 17.2s
2020-12-15 13:20:40,create,4 - uppgift 3,4,,,8,,,1m 16.2s
2020-12-15 13:19:32,create,3b - uppgift 8,3,,,9,,,0m 55.9s
2020-12-15 13:19:30,create,3b - uppgift 8,0,,,0,,,0m 1.1s
2020-12-15 13:19:09,create,3b - uppgift 9,1,,,3,,,0m 19.2s
2020-12-15 13:18:37,create,3b - uppgift 10,2,,,6,,,0m 24.2s
2020-12-15 13:18:30,create,3b - uppgift 8,0,,,0,,,0m 1.1s
2020-12-15 13:18:27,create,3b - uppgift 1,0,,,0,,,0m 1.4s
2020-12-15 13:18:13,create,3b - uppgift 4,1,,,3,,,0m 11.7s
2020-12-15 13:17:41,create,3b - uppgift 4,2,,,6,,,0m 30.9s
2020-12-15 13:16:52,create,3b - uppgift 2,3,,,9,,,0m 46.7s
2020-12-15 13:15:26,create,6 - uppgift 4,2,,,8,,,0m 59.5s
2020-12-15 13:15:20,create,6 - uppgift 4,0,,,0,,,0m 4.7s
2020-12-15 13:15:13,create,6 - uppgift 4,0,,,0,,,0m 5.7s
2020-12-15 13:14:44,create,6 - uppgift 4,1,,,4,,,0m 27.1s
2020-12-15 13:13:30,create,6 - uppgift 2,3,,,18,,,1m 12.1s
2020-12-15 13:11:39,create,6 - uppgift 5,4,,,20,,,1m 48.8s
2020-12-15 13:11:00,create,1 - uppgift 4,3,,,3,,,0m 24.0s
2020-12-15 13:10:58,create,1 - uppgift 4,0,,,0,,,0m 1.3s
2020-12-15 13:10:02,create,5 - uppgift 5,3,,,9,,,0m 45.7s
2020-12-15 13:09:45,create,5 - uppgift 3,1,,,3,,,0m 10.1s
2020-12-15 13:08:16,create,5 - uppgift 3,4,,,12,,,1m 26.7s
2020-11-10 15:22:56,create,6 - uppgift 6,1,,,6,,,1m 9.8s
2020-11-10 15:21:46,create,1 - uppgift 7,1,,,1,,,0m 37.6s
2020-11-10 14:00:41,create,2 - uppgift 2,2,,,4,,,2m 22.2s
2020-11-10 14:00:36,create,2 - uppgift 1,0,,,0,,,0m 2.9s
2020-11-10 14:00:25,create,2 - uppgift 2,1,,,2,,,0m 9.4s
2020-11-10 13:58:56,create,2 - uppgift 3,8,,,16,,,1m 26.9s
2020-11-10 13:58:31,create,2 - uppgift 3,2,,,4,,,0m 18.9s
2020-11-10 13:56:23,create,2 - uppgift 6,9,,,18,,,1m 43.5s
2020-11-10 13:55:09,create,2 - uppgift 1,6,,,12,,,1m 10.4s
2020-11-10 13:51:41,create,1 - uppgift 6,18,,,18,,,3m 18.5s
2020-11-10 13:48:21,create,1 - uppgift 4,12,,,12,,,3m 16.6s
2020-11-10 13:46:11,create,1 - uppgift 1,4,,,4,,,2m 6.6s
2020-11-10 13:37:58,create,1 - uppgift 1,1,,,1,,,0m 10.1s
2020-11-09 15:53:30,create,1 - uppgift 1,1,,,1,,,0m 33.1s
2020-11-09 15:45:44,create,1 - uppgift 2,1,,,1,,,0m 33.0s
2020-11-09 15:44:38,create,1 - uppgift 1,4,,,4,,,0m 56.4s
2020-11-09 15:34:13,create,5 - uppgift 1,2,,,10,,,0m 57.5s
2020-11-09 15:30:31,create,3a - uppgift 1,3,,,9,,,2m 53.8s
