george1,//,,,,,,,,
Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-02-18 04:45:59-08:00,create,4 - uppgift 3,0,,,0,,,0m 2.0s
2021-02-18 04:45:28-08:00,create,3b - uppgift 5,1,,,3,,,0m 14.3s
2021-02-18 04:45:25-08:00,create,3b - uppgift 1,0,,,0,,,0m 0.7s
2021-02-18 04:32:02-08:00,create,3a - uppgift 9,0,,,0,,,0m 6.2s
2021-02-17 23:38:08-08:00,create,5 - uppgift 3,1,,,3,,,0m 13.6s
2021-02-17 23:36:41-08:00,create,5 - uppgift 3,6,,,18,,,1m 23.0s
2021-02-17 23:36:26-08:00,create,5 - uppgift 4,1,,,4,,,0m 12.9s
2021-02-17 23:36:08-08:00,create,5 - uppgift 5,1,,,3,,,0m 14.5s
2021-02-17 23:35:48-08:00,create,5 - uppgift 6,1,,,5,,,0m 18.5s
2021-02-17 23:35:28-08:00,create,5 - uppgift 5,1,,,3,,,0m 18.7s
2021-02-17 23:35:24-08:00,create,5 - uppgift 5,0,,,0,,,0m 0.6s
2021-02-17 23:35:04-08:00,create,5 - uppgift 2,1,,,5,,,0m 17.8s
2021-02-17 23:34:45-08:00,create,5 - uppgift 1,1,,,5,,,0m 17.4s
2021-02-17 23:34:28-08:00,create,3b - uppgift 15,1,,,3,,,0m 12.0s
2021-02-17 23:34:15-08:00,create,3b - uppgift 15,1,,,3,,,0m 11.8s
2021-02-17 23:33:59-08:00,create,3b - uppgift 14,1,,,3,,,0m 13.7s
2021-02-17 23:33:55-08:00,create,3b - uppgift 14,0,,,0,,,0m 1.2s
2021-02-17 23:33:31-08:00,create,3b - uppgift 13,2,,,6,,,0m 23.3s
2021-02-17 23:33:06-08:00,create,3b - uppgift 12,1,,,3,,,0m 15.8s
2021-02-17 23:33:03-08:00,create,3b - uppgift 12,0,,,0,,,0m 0.7s
2021-02-17 23:32:49-08:00,create,3b - uppgift 11,1,,,3,,,0m 12.8s
2021-02-17 23:32:28-08:00,create,3b - uppgift 10,2,,,6,,,0m 19.0s
2021-02-17 23:32:07-08:00,create,4 - uppgift 1,1,,,4,,,0m 14.4s
2021-02-17 23:31:53-08:00,create,4 - uppgift 2,1,,,4,,,0m 11.8s
2021-02-17 23:31:44-08:00,create,4 - uppgift 3,1,,,2,,,0m 8.0s
2021-02-17 23:31:22-08:00,create,4 - uppgift 4,1,,,3,,,0m 20.1s
2021-02-17 23:30:23-08:00,create,4 - uppgift 5,2,,,10,,,0m 58.3s
2021-02-17 23:29:17-08:00,create,3b - uppgift 2,3,,,9,,,1m 1.6s
2021-02-17 23:29:00-08:00,create,3b - uppgift 9,1,,,3,,,0m 15.8s
2021-02-17 23:28:45-08:00,create,3b - uppgift 8,1,,,3,,,0m 14.0s
2021-02-17 23:28:28-08:00,create,3b - uppgift 6,1,,,3,,,0m 15.3s
2021-02-17 23:28:13-08:00,create,3b - uppgift 7,1,,,3,,,0m 13.8s
2021-02-17 23:27:55-08:00,create,3b - uppgift 4,1,,,3,,,0m 15.0s
2021-02-17 23:27:32-08:00,create,3b - uppgift 1,1,,,3,,,0m 17.8s
2021-02-17 23:27:30-08:00,create,3b - uppgift 2,0,,,0,,,0m 1.3s
2021-02-17 23:26:24-08:00,create,3b - uppgift 1,2,,,6,,,1m 0.6s
2021-02-17 23:26:07-08:00,create,3a - uppgift 10,1,,,3,,,0m 13.2s
2021-02-17 23:25:47-08:00,create,3a - uppgift 11,1,,,3,,,0m 17.8s
2021-02-17 23:25:29-08:00,create,3a - uppgift 12,1,,,3,,,0m 17.5s
2021-02-17 23:25:24-08:00,create,3a - uppgift 4,0,,,0,,,0m 1.8s
2021-02-17 23:25:05-08:00,create,3a - uppgift 9,1,,,3,,,0m 17.2s
2021-02-17 23:24:04-08:00,create,3a - uppgift 8,4,,,12,,,0m 57.9s
2021-02-17 23:23:39-08:00,create,3a - uppgift 7,1,,,3,,,0m 16.1s
2021-02-17 23:23:36-08:00,create,3a - uppgift 7,0,,,0,,,0m 1.8s
2021-02-17 23:23:20-08:00,create,3a - uppgift 6,1,,,3,,,0m 14.3s
2021-02-17 23:22:49-08:00,create,3a - uppgift 5,2,,,6,,,0m 29.4s
2021-02-17 23:22:44-08:00,create,3a - uppgift 5,0,,,0,,,0m 4.2s
2021-02-17 23:22:25-08:00,create,3a - uppgift 5,1,,,3,,,0m 14.6s
2021-02-17 23:22:24-08:00,create,3a - uppgift 1,0,,,0,,,0m 0.5s
2021-02-17 23:22:18-08:00,create,3a - uppgift 5,0,,,0,,,0m 5.1s
2021-02-17 23:22:02-08:00,create,3a - uppgift 5,1,,,3,,,0m 13.5s
2021-02-17 23:21:31-08:00,create,3a - uppgift 4,3,,,9,,,0m 29.4s
2021-02-17 23:21:16-08:00,create,3a - uppgift 3,1,,,3,,,0m 13.2s
2021-02-17 23:20:57-08:00,create,3a - uppgift 2,1,,,3,,,0m 17.1s
2021-02-17 23:20:16-08:00,create,3a - uppgift 1,1,,,3,,,0m 38.8s
2021-02-17 04:18:42-08:00,create,5 - uppgift 5,1,,,3,,,3m 25.9s
2021-02-17 04:15:10-08:00,create,4 - uppgift 5,7,,,35,,,3m 25.8s
2021-02-17 04:14:44-08:00,create,4 - uppgift 5,1,,,5,,,0m 22.3s
