Gäst,//,,,,,,,,
Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-05-05 09:01:42,create,3b - uppgift 2,0,,,0,,,0m 4.5s
2021-05-05 09:01:34,create,5 - uppgift 5,0,,,0,,,0m 1.4s
2021-05-05 08:59:42,create,5 - uppgift 6,2,,,10,,,1m 49.4s
2021-05-05 08:58:19,create,5 - uppgift 3,2,,,6,,,1m 19.1s
2021-05-05 08:57:24,create,5 - uppgift 2,1,,,5,,,0m 51.6s
2021-05-05 08:56:41,create,5 - uppgift 1,0,,,0,,,0m 41.9s
2021-05-05 08:56:31,create,3b - uppgift 7,0,,,0,,,0m 2.2s
2021-05-05 08:56:12,create,3b - uppgift 5,0,,,0,,,0m 14.6s
2021-05-05 08:55:43,create,3b - uppgift 4,1,,,3,,,0m 21.2s
2021-05-05 08:55:08,create,3b - uppgift 9,1,,,3,,,0m 25.6s
2021-05-05 08:54:56,create,3b - uppgift 10,0,,,0,,,0m 8.1s
2021-05-05 08:54:42,create,3b - uppgift 8,0,,,0,,,0m 5.4s
2021-05-05 08:54:34,create,4 - uppgift 5,0,,,0,,,0m 1.2s
2021-05-05 08:46:20,create,4 - uppgift 4,10,,,30,,,8m 11.6s
2021-05-05 08:45:17,create,3b - uppgift 1,1,,,3,,,0m 48.0s
2021-05-05 08:45:10,create,3b - uppgift 2,0,,,0,,,0m 5.7s
2021-05-05 08:44:25,create,3b - uppgift 6,1,,,3,,,0m 41.9s
2021-05-05 08:44:07,create,3b - uppgift 6,0,,,0,,,0m 16.8s
2021-05-05 08:43:26,create,3b - uppgift 7,1,,,3,,,0m 36.5s
2021-05-05 08:42:48,create,3b - uppgift 3,1,,,3,,,0m 34.9s
2021-05-05 08:39:29,create,3b - uppgift 5,4,,,12,,,3m 12.7s
2021-04-28 10:09:01,create,5 - uppgift 4,1,,,4,,,1m 22.3s
2021-04-28 10:08:16,create,3a - uppgift 3,1,,,3,,,0m 26.0s
2021-04-28 10:06:34,create,3b - uppgift 2,1,,,3,,,0m 44.3s
2021-04-28 10:05:43,create,3b - uppgift 4,1,,,3,,,0m 48.7s
2021-04-28 10:04:20,create,3b - uppgift 1,2,,,6,,,1m 20.2s
2021-04-28 10:03:00,create,3b - uppgift 1,3,,,9,,,1m 14.5s
2021-04-28 10:01:45,create,3b - uppgift 5,2,,,6,,,1m 9.6s
2021-04-28 09:59:22,create,3b - uppgift 3,2,,,6,,,0m 54.5s
2021-04-22 09:54:40,create,3b - uppgift 3,3,,,9,,,1m 55.7s
2021-04-22 09:53:49,create,3b - uppgift 8,2,,,6,,,0m 47.8s
2021-04-22 09:40:32,create,3b - uppgift 9,7,,,21,,,5m 11.4s
2021-04-22 09:38:48,create,3b - uppgift 2,3,,,9,,,1m 41.9s
2021-04-22 09:38:18,create,3b - uppgift 2,1,,,3,,,0m 27.1s
2021-04-22 09:34:08,create,3b - uppgift 5,6,,,18,,,4m 5.7s
2021-04-22 09:33:35,create,3b - uppgift 3,1,,,3,,,0m 31.7s
2021-04-20 08:59:11,create,3b - uppgift 3,1,,,3,,,1m 0.0s
2021-04-20 08:58:10,create,3b - uppgift 7,2,,,6,,,0m 56.5s
2021-04-20 08:56:55,create,3b - uppgift 3,2,,,6,,,1m 12.3s
2021-04-20 08:52:10,create,3b - uppgift 5,8,,,24,,,4m 39.2s
2021-04-20 08:51:00,create,3b - uppgift 4,2,,,6,,,1m 7.1s
2021-04-14 10:14:45,create,2 - uppgift 1,4,,,8,,,1m 54.1s
2021-04-14 10:14:43,create,2 - uppgift 2,0,,,0,,,0m 1.4s
2021-04-14 10:14:09,create,2 - uppgift 1,0,,,0,,,0m 32.1s
2021-04-14 10:06:09,create,2 - uppgift 1,0,,,0,,,0m 1.2s
2021-04-14 10:04:15,create,2 - uppgift 1,5,,,10,,,1m 33.9s
