Caspian 422,//,,,,,,,,
Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-04-21 10:21:20,create,4 - uppgift 2,8,,,32,,,2m 6.1s
2021-04-21 10:20:24,create,2 - uppgift 6,3,,,6,,,0m 52.3s
2021-04-19 12:57:56,create,2 - uppgift 6,4,,,8,,,1m 15.5s
2021-04-19 12:56:31,create,4 - uppgift 2,1,,,4,,,0m 33.4s
2021-04-19 12:53:43,create,4 - uppgift 2,9,,,36,,,2m 44.7s
2021-04-19 12:53:33,create,6 - uppgift 5,0,,,0,,,0m 1.8s
2021-04-19 12:53:28,create,5 - uppgift 3,0,,,0,,,0m 1.6s
2021-04-16 12:22:13,create,3b - uppgift 9,1,,,3,,,0m 15.6s
2021-04-16 12:20:06,create,5 - uppgift 3,6,,,18,,,1m 43.2s
2021-04-16 12:15:38,create,2 - uppgift 6,5,,,10,,,4m 21.2s
2021-03-31 10:24:06,create,4 - uppgift 2,6,,,24,,,1m 25.8s
2021-03-31 10:23:54,create,2 - uppgift 5,1,,,2,,,0m 8.3s
2021-03-31 10:23:23,create,3b - uppgift 9,1,,,3,,,0m 20.4s
2021-03-31 10:23:08,create,2 - uppgift 6,0,,,0,,,0m 1.9s
2021-03-29 12:59:46,create,2 - uppgift 6,11,,,22,,,1091m 39.0s
2021-03-29 12:59:43,create,2 - uppgift 2,0,,,0,,,0m 1.4s
2021-03-29 12:58:57,create,2 - uppgift 6,2,,,4,,,0m 42.2s
2021-03-29 12:57:49,create,4 - uppgift 2,4,,,16,,,0m 58.6s
2021-03-29 12:56:32,create,6 - uppgift 5,2,,,10,,,1m 5.9s
2021-03-29 12:55:15,create,6 - uppgift 5,2,,,10,,,1m 13.4s
2021-03-24 10:27:51,create,6 - uppgift 2,2,,,12,,,1m 7.3s
2021-03-24 10:24:38,create,6 - uppgift 1,8,,,32,,,3m 10.5s
2021-03-22 12:57:06,create,4 - uppgift 2,1,,,4,,,0m 22.1s
2021-03-22 12:56:21,create,3a - uppgift 8,2,,,6,,,0m 39.0s
2021-03-22 12:55:24,create,2 - uppgift 6,3,,,6,,,0m 46.2s
2021-03-22 12:53:26,create,2 - uppgift 6,6,,,12,,,1m 57.4s
2021-03-22 12:52:26,create,5 - uppgift 5,3,,,9,,,0m 54.5s
2021-03-19 12:19:53,create,5 - uppgift 6,3,,,15,,,1833m 38.5s
2021-03-19 12:19:41,create,3b - uppgift 7,0,,,0,,,0m 3.3s
2021-03-19 12:19:37,create,3b - uppgift 8,0,,,0,,,0m 2.8s
2021-03-19 12:19:33,create,4 - uppgift 5,0,,,0,,,0m 0.8s
2021-03-19 12:19:25,create,5 - uppgift 6,0,,,0,,,0m 0.8s
2021-03-19 12:19:21,create,5 - uppgift 5,0,,,0,,,0m 3.1s
2021-03-19 12:18:59,create,5 - uppgift 4,1,,,4,,,0m 19.3s
2021-03-19 12:18:13,create,5 - uppgift 3,3,,,9,,,0m 44.7s
2021-03-19 12:18:10,create,5 - uppgift 2,0,,,0,,,0m 1.7s
2021-03-19 12:15:59,create,5 - uppgift 1,6,,,30,,,2m 6.1s
2021-03-19 12:15:17,create,4 - uppgift 2,1,,,4,,,0m 33.1s
2021-03-19 12:15:11,create,3b - uppgift 9,0,,,0,,,0m 1.5s
2021-03-19 12:15:07,create,3b - uppgift 4,0,,,0,,,0m 2.6s
2021-03-19 12:15:00,create,5 - uppgift 1,0,,,0,,,0m 2.4s
2021-03-08 13:00:04,create,3b - uppgift 4,7,,,21,,,1m 45.8s
2021-03-08 13:00:00,create,4 - uppgift 5,0,,,0,,,0m 0.8s
2021-03-08 12:59:55,create,4 - uppgift 3,0,,,0,,,0m 3.0s
2021-03-08 12:58:06,create,5 - uppgift 4,5,,,20,,,1m 35.1s
2021-03-08 12:57:11,create,5 - uppgift 1,1,,,5,,,0m 52.9s
2021-03-08 12:56:26,create,5 - uppgift 1,2,,,10,,,0m 43.5s
2021-03-08 12:55:47,create,4 - uppgift 2,1,,,4,,,0m 27.2s
2021-03-08 12:55:22,create,3b - uppgift 4,0,,,0,,,0m 1.5s
2021-03-01 12:56:04,create,4 - uppgift 3,11,,,22,,,3m 0.8s
2021-03-01 12:55:34,create,4 - uppgift 2,1,,,4,,,0m 20.2s
2021-03-01 12:55:09,create,3b - uppgift 9,1,,,3,,,0m 20.2s
2021-03-01 12:54:58,create,2 - uppgift 6,0,,,0,,,0m 1.5s
2021-02-19 12:18:25,create,4 - uppgift 4,1,,,3,,,0m 20.3s
2021-02-19 12:16:41,create,4 - uppgift 2,6,,,24,,,1m 41.5s
2021-02-19 12:14:21,create,2 - uppgift 6,8,,,16,,,2m 15.6s
2021-02-18 09:44:08,create,2 - uppgift 6,4,,,8,,,483m 39.1s
2021-02-18 09:43:13,create,4 - uppgift 5,2,,,10,,,0m 52.5s
2021-02-18 09:42:34,create,4 - uppgift 2,1,,,4,,,0m 30.0s
2021-02-18 09:41:55,create,4 - uppgift 2,2,,,8,,,0m 38.8s
2021-02-18 09:41:33,create,4 - uppgift 2,1,,,4,,,0m 20.8s
2021-02-18 09:41:06,create,4 - uppgift 2,1,,,4,,,0m 26.3s
2021-02-18 09:40:37,create,4 - uppgift 2,0,,,0,,,0m 6.2s
2021-02-18 09:40:10,create,4 - uppgift 2,0,,,0,,,0m 25.9s
2021-02-18 09:40:07,create,4 - uppgift 1,0,,,0,,,0m 2.0s
2021-02-17 09:39:44,create,2 - uppgift 5,2,,,4,,,343m 40.6s
2021-02-17 09:38:50,create,2 - uppgift 6,2,,,4,,,0m 50.5s
2021-02-17 09:37:57,create,4 - uppgift 2,2,,,8,,,0m 42.4s
2021-02-17 09:37:46,create,2 - uppgift 6,0,,,0,,,0m 3.5s
2021-02-15 13:03:06,create,4 - uppgift 2,9,,,36,,,2m 36.9s
2021-02-15 13:02:21,create,4 - uppgift 2,1,,,4,,,0m 43.8s
2021-02-15 13:01:36,create,4 - uppgift 2,0,,,0,,,0m 44.4s
2021-02-15 13:00:07,create,3b - uppgift 4,4,,,12,,,1m 15.5s
2021-02-15 12:59:21,create,3b - uppgift 9,1,,,3,,,0m 42.3s
