H 423,//,,,,,,,,
Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-04-23 13:03:35,create,5 - uppgift 5,6,,,18,,,2m 12.0s
2021-04-23 13:02:01,create,4 - uppgift 4,4,,,12,,,1m 21.8s
2021-04-23 13:00:31,create,4 - uppgift 1,3,,,12,,,1m 25.9s
2021-04-20 13:38:14,create,4 - uppgift 1,6,,,24,,,3m 13.9s
2021-04-20 13:33:14,create,4 - uppgift 3,11,,,22,,,4m 55.8s
2021-04-20 13:29:38,create,6 - uppgift 5,3,,,15,,,2m 3.0s
2021-04-19 09:25:49,create,4 - uppgift 3,7,,,14,,,3m 33.6s
2021-04-19 09:25:11,create,4 - uppgift 4,2,,,6,,,0m 35.4s
2021-04-19 09:24:02,create,4 - uppgift 2,4,,,16,,,1m 4.9s
2021-04-19 09:21:29,create,4 - uppgift 1,5,,,20,,,2m 30.0s
2021-03-30 09:28:01,create,6 - uppgift 4,0,,,0,,,0m 0.9s
2021-03-30 09:26:52,create,6 - uppgift 6,2,,,12,,,1m 7.1s
2021-03-29 09:38:44,create,6 - uppgift 4,9,,,36,,,212m 9.1s
2021-03-29 09:35:59,create,6 - uppgift 2,7,,,42,,,2m 43.2s
2021-03-29 09:35:35,create,6 - uppgift 1,1,,,4,,,0m 21.2s
2021-03-29 09:35:14,create,6 - uppgift 1,1,,,4,,,0m 19.9s
2021-03-26 13:03:24,create,4 - uppgift 3,1,,,2,,,0m 33.6s
2021-03-26 13:02:58,create,4 - uppgift 5,1,,,5,,,0m 21.7s
2021-03-23 13:50:15,create,5 - uppgift 4,1,,,4,,,0m 19.6s
2021-03-23 13:49:47,create,5 - uppgift 5,1,,,3,,,0m 21.6s
2021-03-23 13:48:56,create,5 - uppgift 5,2,,,6,,,0m 49.0s
2021-03-22 09:37:17,create,4 - uppgift 3,2,,,4,,,189m 5.5s
2021-03-22 09:35:31,create,4 - uppgift 2,4,,,16,,,1m 42.8s
2021-03-22 09:34:35,create,4 - uppgift 4,3,,,9,,,0m 54.0s
2021-03-22 09:33:54,create,4 - uppgift 3,2,,,4,,,0m 38.3s
2021-03-22 09:33:32,create,4 - uppgift 1,1,,,4,,,0m 19.8s
2021-03-22 09:33:05,create,4 - uppgift 5,1,,,5,,,0m 25.2s
2021-03-19 09:22:38,create,4 - uppgift 2,3,,,12,,,0m 57.0s
2021-03-19 09:22:12,create,4 - uppgift 5,1,,,5,,,0m 24.4s
2021-03-19 09:21:51,create,4 - uppgift 2,1,,,4,,,0m 17.6s
2021-03-19 09:21:48,create,4 - uppgift 5,0,,,0,,,0m 1.6s
2021-03-19 09:20:16,create,4 - uppgift 5,3,,,15,,,1m 28.4s
2021-03-19 09:19:30,create,4 - uppgift 4,3,,,9,,,0m 42.0s
2021-03-19 09:18:26,create,4 - uppgift 1,2,,,8,,,1m 1.8s
2021-03-19 09:17:09,create,4 - uppgift 3,3,,,6,,,1m 15.2s
