M 424,//,,,,,,,,
Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-04-23 17:58:02,create,4 - uppgift 3,5,,,10,,,1m 10.4s
2021-04-23 17:57:41,create,4 - uppgift 1,1,,,4,,,0m 19.4s
2021-04-21 09:11:35,create,2 - uppgift 6,9,,,18,,,2m 45.2s
2021-04-21 09:10:47,create,5 - uppgift 3,2,,,6,,,0m 32.8s
2021-04-21 09:10:22,create,5 - uppgift 6,1,,,5,,,0m 20.5s
2021-04-19 10:15:25,create,5 - uppgift 5,2,,,6,,,0m 29.0s
2021-04-19 10:14:47,create,5 - uppgift 3,2,,,6,,,0m 35.5s
2021-04-19 10:14:41,create,5 - uppgift 2,0,,,0,,,0m 4.1s
2021-04-19 10:14:13,create,5 - uppgift 1,1,,,5,,,0m 25.3s
2021-04-15 19:58:16,create,4 - uppgift 1,2,,,8,,,0m 50.3s
2021-04-15 19:58:13,create,4 - uppgift 1,0,,,0,,,0m 2.3s
2021-04-15 19:57:09,create,4 - uppgift 1,3,,,12,,,1m 3.1s
2021-04-15 09:13:57,create,5 - uppgift 5,1,,,3,,,0m 19.6s
2021-04-14 09:21:00,create,6 - uppgift 4,5,,,20,,,58m 26.0s
2021-04-05 19:04:59,create,6 - uppgift 5,2,,,10,,,1m 9.8s
2021-04-05 19:04:26,create,6 - uppgift 5,1,,,5,,,0m 31.8s
2021-03-31 09:21:30,create,6 - uppgift 4,3,,,12,,,1m 3.1s
2021-03-31 09:21:11,create,5 - uppgift 6,0,,,0,,,0m 2.9s
2021-03-31 09:19:46,create,6 - uppgift 6,2,,,12,,,1m 19.2s
2021-03-31 09:19:01,create,3a - uppgift 10,2,,,6,,,0m 39.5s
2021-03-31 09:18:56,create,3a - uppgift 8,0,,,0,,,0m 2.1s
2021-03-31 09:18:02,create,3a - uppgift 8,2,,,6,,,0m 51.6s
2021-03-31 09:16:31,create,3a - uppgift 6,3,,,9,,,1m 26.9s
2021-03-31 09:16:27,create,3a - uppgift 2,0,,,0,,,0m 2.5s
2021-03-31 09:15:15,create,3a - uppgift 9,3,,,9,,,1m 10.3s
2021-03-31 09:14:45,create,5 - uppgift 4,1,,,4,,,0m 16.5s
2021-03-31 09:14:15,create,5 - uppgift 5,1,,,3,,,0m 28.2s
2021-03-31 09:13:21,create,5 - uppgift 3,2,,,6,,,0m 51.4s
2021-03-29 10:18:45,create,4 - uppgift 4,3,,,9,,,80m 42.1s
