Edita,//,,,,,,,,
Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-04-16 08:47:18,create,4 - uppgift 5,2,,,10,,,0m 55.4s
2021-04-16 08:46:43,create,4 - uppgift 5,2,,,10,,,0m 31.2s
2021-04-16 08:45:13,create,4 - uppgift 4,7,,,21,,,1m 27.7s
2021-04-16 08:45:08,create,4 - uppgift 3,1,,,2,,,0m 4.4s
2021-04-16 08:44:23,create,4 - uppgift 3,4,,,8,,,0m 43.1s
2021-04-16 08:43:31,create,4 - uppgift 2,4,,,16,,,0m 51.2s
2021-04-16 08:42:03,create,4 - uppgift 1,4,,,16,,,1m 26.2s
2021-04-16 08:41:36,create,6 - uppgift 1,1,,,4,,,0m 15.7s
2021-04-13 09:13:53,create,6 - uppgift 1,0,,,0,,,0m 3.3s
2021-03-23 09:00:44,create,5 - uppgift 1,7,,,35,,,240m 20.8s
2021-03-23 08:58:02,create,5 - uppgift 2,10,,,50,,,2m 38.8s
2021-03-23 08:55:06,create,5 - uppgift 4,12,,,48,,,2m 49.4s
2021-03-23 08:53:21,create,5 - uppgift 3,7,,,21,,,1m 40.2s
2021-03-23 08:48:10,create,5 - uppgift 6,18,,,90,,,5m 9.7s
2021-03-23 08:46:57,create,5 - uppgift 5,6,,,18,,,1m 12.2s
2021-03-22 08:33:26,create,4 - uppgift 4,16,,,48,,,36m 8.1s
2021-03-22 08:31:32,create,4 - uppgift 3,10,,,20,,,1m 50.3s
2021-03-22 08:27:59,create,4 - uppgift 2,14,,,56,,,3m 29.6s
2021-03-22 08:25:08,create,4 - uppgift 1,10,,,40,,,2m 46.5s
2021-03-02 09:19:21,create,3b - uppgift 8,3,,,9,,,113m 41.2s
2021-03-02 09:18:29,create,3b - uppgift 7,4,,,12,,,0m 50.4s
2021-03-02 09:15:55,create,3b - uppgift 6,10,,,30,,,2m 31.4s
2021-03-02 09:13:13,create,3b - uppgift 5,8,,,24,,,2m 40.0s
2021-03-02 09:11:06,create,3b - uppgift 4,10,,,30,,,2m 6.2s
2021-03-02 09:08:46,create,3b - uppgift 2,8,,,24,,,2m 15.6s
2021-03-02 09:06:52,create,3b - uppgift 1,7,,,21,,,1m 52.6s
2021-02-15 09:02:29,create,3a - uppgift 9,1,,,3,,,0m 20.5s
2021-02-15 09:00:59,create,3a - uppgift 9,4,,,12,,,1m 23.2s
2021-02-15 09:00:05,create,3a - uppgift 8,4,,,12,,,0m 51.9s
2021-02-15 08:59:25,create,3a - uppgift 7,3,,,9,,,0m 38.9s
2021-02-15 08:58:45,create,3a - uppgift 6,3,,,9,,,0m 39.3s
2021-02-15 08:56:16,create,3a - uppgift 5,9,,,27,,,2m 23.4s
2021-02-15 08:52:18,create,3a - uppgift 4,8,,,24,,,3m 54.6s
2021-02-15 08:51:14,create,3a - uppgift 3,4,,,12,,,1m 2.9s
2021-02-09 08:58:44,create,2 - uppgift 6,9,,,18,,,1m 1.9s
2021-02-09 08:57:45,create,2 - uppgift 5,5,,,10,,,0m 57.4s
2021-02-09 08:55:16,create,2 - uppgift 3,7,,,14,,,2m 28.6s
2021-02-09 08:55:10,create,2 - uppgift 6,0,,,0,,,0m 3.7s
2021-02-09 08:54:17,create,2 - uppgift 5,3,,,6,,,0m 38.5s
2021-02-09 08:54:07,create,2 - uppgift 5,1,,,2,,,0m 8.6s
2021-02-09 08:52:45,create,2 - uppgift 6,10,,,20,,,1m 13.8s
2021-02-09 08:52:05,create,2 - uppgift 5,4,,,8,,,0m 37.8s
2021-02-09 08:51:10,create,2 - uppgift 4,5,,,10,,,0m 54.3s
2021-02-09 08:49:47,create,2 - uppgift 3,7,,,14,,,1m 21.5s
2021-02-09 08:48:03,create,2 - uppgift 2,6,,,12,,,1m 40.7s
2021-01-27 12:36:32,create,3a - uppgift 9,14,,,42,,,92m 21.7s
2021-01-27 12:36:00,create,3a - uppgift 5,2,,,6,,,0m 30.6s
2021-01-27 12:35:02,create,3a - uppgift 8,5,,,15,,,0m 56.4s
2021-01-27 12:33:17,create,3a - uppgift 7,6,,,18,,,1m 44.1s
2021-01-27 12:32:19,create,3a - uppgift 6,3,,,9,,,0m 53.7s
2021-01-27 12:31:08,create,3a - uppgift 5,4,,,12,,,1m 9.0s
2021-01-27 12:30:16,create,3a - uppgift 4,3,,,9,,,0m 50.0s
2021-01-27 12:29:07,create,3a - uppgift 3,4,,,12,,,1m 7.4s
2021-01-27 12:28:55,create,3a - uppgift 2,1,,,3,,,0m 11.0s
2021-01-27 12:28:28,create,3a - uppgift 3,2,,,6,,,0m 23.6s
2021-01-27 12:27:54,create,3a - uppgift 2,2,,,6,,,0m 32.5s
2021-01-27 12:27:06,create,3a - uppgift 1,2,,,6,,,0m 43.3s
2021-01-22 09:10:40,create,2 - uppgift 3,0,,,0,,,374m 16.7s
