332,//,,,,,,,,
Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-03-12 13:06:15,create,5 - uppgift 6,3,,,15,,,1m 13.1s
2021-03-12 13:04:07,create,5 - uppgift 6,5,,,25,,,2m 6.8s
2021-03-12 13:03:41,create,5 - uppgift 6,1,,,5,,,0m 24.1s
2021-03-12 13:02:39,create,5 - uppgift 3,4,,,12,,,0m 58.4s
2021-03-12 13:02:13,create,6 - uppgift 2,1,,,6,,,0m 19.4s
2021-03-12 13:02:10,create,6 - uppgift 2,0,,,0,,,0m 0.5s
2021-03-12 13:02:01,create,6 - uppgift 3,0,,,0,,,0m 4.7s
2021-03-12 12:59:51,create,6 - uppgift 2,5,,,30,,,2m 7.4s
2021-03-12 12:58:58,create,6 - uppgift 6,2,,,12,,,0m 51.3s
2021-03-12 12:58:03,create,6 - uppgift 1,2,,,8,,,0m 51.7s
2021-03-12 12:57:39,create,6 - uppgift 1,1,,,4,,,0m 7.7s
2021-03-12 12:57:32,create,3b - uppgift 4,0,,,0,,,0m 0.8s
2021-03-12 12:57:22,create,3b - uppgift 7,0,,,0,,,0m 1.0s
2021-03-12 12:56:32,create,5 - uppgift 6,2,,,10,,,0m 45.3s
2021-03-12 12:56:20,create,5 - uppgift 6,0,,,0,,,0m 9.4s
2021-03-12 12:55:14,create,5 - uppgift 4,3,,,12,,,1m 2.4s
2021-03-12 12:54:57,create,5 - uppgift 4,1,,,4,,,0m 16.2s
2021-03-12 12:54:02,create,5 - uppgift 6,2,,,10,,,0m 51.4s
2021-03-12 12:53:23,create,3b - uppgift 8,2,,,6,,,0m 32.5s
2021-03-12 12:53:16,create,3b - uppgift 4,0,,,0,,,0m 0.8s
2021-03-12 12:51:51,create,3b - uppgift 4,5,,,15,,,1m 23.3s
2021-03-05 13:11:41,create,1 - uppgift 5,1,,,1,,,0m 5.9s
2021-03-05 13:11:12,create,2 - uppgift 1,2,,,4,,,0m 24.2s
2021-03-05 13:10:55,create,2 - uppgift 6,1,,,2,,,0m 14.4s
2021-03-05 13:09:01,create,2 - uppgift 5,5,,,10,,,1m 34.0s
2021-03-05 13:08:54,create,2 - uppgift 3,0,,,0,,,0m 5.4s
2021-03-05 13:08:49,create,2 - uppgift 2,0,,,0,,,0m 2.6s
2021-03-05 13:08:47,create,2 - uppgift 2,0,,,0,,,0m 0.6s
2021-03-05 13:08:30,create,3b - uppgift 9,1,,,3,,,0m 12.9s
2021-03-05 13:07:59,create,3b - uppgift 7,2,,,6,,,0m 23.9s
2021-03-05 13:07:46,create,3b - uppgift 8,1,,,3,,,0m 6.0s
2021-03-05 13:07:22,create,3b - uppgift 1,1,,,3,,,0m 18.3s
2021-03-05 13:06:13,create,3b - uppgift 5,3,,,9,,,1m 4.2s
2021-03-05 13:06:06,create,3b - uppgift 5,0,,,0,,,0m 5.3s
2021-03-05 13:05:59,create,3b - uppgift 10,0,,,0,,,0m 2.3s
2021-03-05 13:05:41,create,3b - uppgift 15,1,,,3,,,0m 17.0s
2021-03-05 13:05:19,create,3b - uppgift 15,2,,,6,,,0m 19.5s
2021-03-05 13:03:32,create,3b - uppgift 4,6,,,18,,,1m 38.7s
2021-03-05 13:03:00,create,3b - uppgift 7,2,,,6,,,0m 28.3s
2021-03-05 13:02:10,create,3b - uppgift 8,2,,,6,,,0m 32.2s
2021-03-05 13:02:07,create,3b - uppgift 8,0,,,0,,,0m 0.6s
2021-03-05 13:00:31,create,6 - uppgift 4,4,,,16,,,1m 31.3s
2021-03-05 12:59:28,create,6 - uppgift 1,3,,,12,,,1m 0.2s
2021-03-05 12:59:23,create,5 - uppgift 5,0,,,0,,,0m 0.9s
2021-03-05 12:59:21,create,5 - uppgift 1,0,,,0,,,0m 0.4s
2021-03-05 12:58:08,create,5 - uppgift 4,3,,,12,,,1m 8.2s
2021-03-05 12:55:38,create,5 - uppgift 6,5,,,25,,,2m 26.6s
2021-03-05 12:54:18,create,5 - uppgift 6,3,,,15,,,1m 17.3s
2021-03-01 10:30:26,create,5 - uppgift 1,0,,,0,,,0m 1.0s
2021-03-01 10:30:22,create,5 - uppgift 3,0,,,0,,,0m 1.5s
2021-03-01 10:28:29,create,5 - uppgift 3,6,,,18,,,1m 50.8s
2021-03-01 10:28:24,create,5 - uppgift 2,0,,,0,,,0m 2.7s
2021-03-01 10:27:00,create,5 - uppgift 4,3,,,12,,,1m 20.2s
2021-03-01 10:26:22,create,3b - uppgift 7,1,,,3,,,0m 21.7s
2021-03-01 10:23:53,create,2 - uppgift 5,8,,,16,,,2m 15.4s
2021-03-01 10:23:50,create,2 - uppgift 6,0,,,0,,,0m 0.6s
2021-03-01 10:23:29,create,3b - uppgift 8,0,,,0,,,0m 1.0s
2021-03-01 10:22:12,create,3b - uppgift 4,5,,,15,,,1m 12.2s
2021-03-01 10:20:15,create,5 - uppgift 6,5,,,25,,,1m 43.0s
2021-03-01 10:19:48,create,5 - uppgift 6,1,,,5,,,0m 25.5s
2021-03-01 10:19:36,create,5 - uppgift 6,0,,,0,,,0m 10.1s
2021-03-01 10:18:43,create,5 - uppgift 6,2,,,10,,,0m 50.9s
2021-03-01 10:18:38,create,5 - uppgift 5,0,,,0,,,0m 0.7s
2021-03-01 10:17:23,create,6 - uppgift 3,3,,,15,,,1m 11.3s
2021-02-18 10:28:06,create,3a - uppgift 9,2,,,6,,,0m 24.5s
2021-02-18 10:27:44,create,3a - uppgift 9,1,,,3,,,0m 20.2s
2021-02-18 10:27:41,create,3a - uppgift 5,0,,,0,,,0m 1.4s
2021-02-18 10:27:37,create,3a - uppgift 9,0,,,0,,,0m 2.5s
2021-02-18 10:27:34,create,2 - uppgift 3,0,,,0,,,0m 0.3s
2021-02-18 10:26:30,create,3a - uppgift 11,4,,,12,,,0m 59.0s
2021-02-18 10:24:19,create,3a - uppgift 12,7,,,21,,,2m 10.3s
2021-02-18 10:24:09,create,2 - uppgift 6,0,,,0,,,0m 0.7s
2021-02-18 10:23:04,create,2 - uppgift 5,4,,,8,,,1m 4.0s
2021-02-18 10:21:08,create,3b - uppgift 14,6,,,18,,,1m 21.5s
2021-02-18 10:21:01,create,3b - uppgift 15,0,,,0,,,0m 5.8s
2021-02-18 10:20:55,create,3b - uppgift 15,0,,,0,,,0m 2.8s
2021-02-18 10:20:52,create,3b - uppgift 15,0,,,0,,,0m 2.3s
2021-02-18 10:20:34,create,3b - uppgift 14,1,,,3,,,0m 16.3s
2021-02-18 10:20:32,create,3b - uppgift 10,0,,,0,,,0m 1.5s
2021-02-18 10:20:29,create,3b - uppgift 13,0,,,0,,,0m 1.3s
2021-02-18 10:20:26,create,3b - uppgift 12,0,,,0,,,0m 1.5s
2021-02-18 10:20:02,create,3a - uppgift 9,1,,,3,,,0m 5.4s
