340 t,//,,,,,,,,
Datum,Typ,Uppgift,#M,,,#O,,,SL
2021-03-12 12:57:15,create,4 - uppgift 1,1,,,4,,,0m 29.3s
2021-03-12 12:55:25,create,4 - uppgift 3,3,,,6,,,1m 47.6s
2021-03-12 12:54:51,create,4 - uppgift 2,1,,,4,,,0m 18.7s
2021-03-08 10:28:04,create,4 - uppgift 5,1,,,5,,,65m 22.3s
2021-03-08 10:24:12,create,4 - uppgift 1,9,,,36,,,3m 48.5s
2021-03-08 10:21:33,create,4 - uppgift 2,4,,,16,,,2m 34.5s
2021-03-08 10:20:57,create,4 - uppgift 3,1,,,2,,,0m 33.4s
2021-03-05 13:11:44,create,4 - uppgift 5,2,,,10,,,48m 9.9s
2021-03-05 13:09:57,create,4 - uppgift 4,2,,,6,,,1m 38.5s
2021-03-05 12:58:52,create,4 - uppgift 2,20,,,80,,,10m 58.1s
2021-03-05 12:58:08,create,4 - uppgift 1,2,,,8,,,0m 41.4s
2021-03-05 12:57:42,create,4 - uppgift 3,1,,,2,,,0m 21.3s
2021-03-05 12:56:52,create,4 - uppgift 5,1,,,5,,,0m 47.2s
2021-03-01 10:30:11,create,1 - uppgift 2,0,,,0,,,0m 1.5s
2021-03-01 10:28:55,create,3b - uppgift 7,3,,,9,,,1m 8.3s
2021-03-01 10:27:34,create,3b - uppgift 6,3,,,9,,,1m 16.4s
2021-03-01 10:26:23,create,3b - uppgift 9,4,,,12,,,1m 7.7s
2021-03-01 10:24:47,create,3b - uppgift 5,3,,,9,,,1m 26.6s
2021-03-01 10:22:45,create,3b - uppgift 4,4,,,12,,,1m 55.6s
2021-03-01 10:21:48,create,2 - uppgift 6,2,,,4,,,0m 47.6s
2021-03-01 10:20:25,create,1 - uppgift 6,1,,,1,,,0m 30.9s
2021-03-01 10:20:20,create,1 - uppgift 1,0,,,0,,,0m 2.2s
2021-03-01 10:20:17,create,1 - uppgift 5,0,,,0,,,0m 1.6s
2021-03-01 10:19:33,create,1 - uppgift 7,2,,,2,,,0m 38.3s
2021-03-01 10:18:54,create,1 - uppgift 4,2,,,2,,,0m 36.3s
2021-03-01 10:18:34,create,1 - uppgift 3,1,,,1,,,0m 15.6s
2021-03-01 10:17:51,create,1 - uppgift 2,2,,,2,,,0m 39.1s
2021-02-18 10:26:58,create,3a - uppgift 4,2,,,6,,,0m 47.3s
2021-02-18 10:25:30,create,3a - uppgift 10,3,,,9,,,1m 19.6s
2021-02-18 10:22:09,create,3a - uppgift 12,10,,,30,,,3m 17.2s
2021-02-18 10:19:25,create,2 - uppgift 4,7,,,14,,,2m 37.4s
2021-02-18 10:18:44,create,1 - uppgift 4,2,,,2,,,0m 36.2s
2021-02-18 10:18:23,create,1 - uppgift 7,1,,,1,,,0m 17.9s
2021-02-09 13:44:14,create,2 - uppgift 5,1,,,2,,,0m 25.9s
2021-02-09 13:38:11,create,1 - uppgift 7,17,,,17,,,5m 38.6s
2021-02-09 13:37:49,create,1 - uppgift 6,1,,,1,,,0m 19.1s
2021-02-09 13:37:16,create,1 - uppgift 5,2,,,2,,,0m 31.1s
2021-02-09 13:36:41,create,2 - uppgift 5,2,,,4,,,0m 33.1s
2021-02-09 13:35:57,create,2 - uppgift 2,2,,,4,,,0m 40.3s
2021-02-09 13:35:36,create,3a - uppgift 3,1,,,3,,,0m 16.2s
2021-02-08 10:15:37,create,2 - uppgift 6,1,,,2,,,0m 36.8s
2021-02-08 10:15:03,create,2 - uppgift 5,1,,,2,,,0m 23.9s
2021-02-08 10:14:25,create,2 - uppgift 2,1,,,2,,,0m 32.8s
2021-02-08 10:13:57,create,1 - uppgift 7,1,,,1,,,0m 18.5s
2021-02-08 10:13:40,create,1 - uppgift 6,1,,,1,,,0m 14.1s
2021-02-08 10:13:27,create,1 - uppgift 4,1,,,1,,,0m 11.5s
2021-02-08 10:13:06,create,1 - uppgift 3,1,,,1,,,0m 18.2s
2021-02-08 10:12:39,create,1 - uppgift 5,1,,,1,,,0m 25.1s
2021-02-08 10:11:48,create,1 - uppgift 2,1,,,1,,,0m 46.2s
2021-02-05 10:27:57,create,3a - uppgift 5,1,,,3,,,0m 55.5s
2021-02-05 10:27:14,create,3a - uppgift 4,1,,,3,,,0m 40.6s
2021-02-05 10:26:37,create,2 - uppgift 5,1,,,2,,,0m 25.4s
2021-02-05 10:26:12,create,1 - uppgift 6,1,,,1,,,0m 18.1s
2021-02-05 10:25:38,create,3a - uppgift 5,1,,,3,,,0m 27.0s
2021-02-05 10:25:23,create,3a - uppgift 3,1,,,3,,,0m 13.9s
2021-02-05 10:25:10,create,1 - uppgift 5,1,,,1,,,0m 10.7s
2021-02-05 10:24:53,create,1 - uppgift 7,1,,,1,,,0m 12.7s
2021-02-05 10:24:40,create,1 - uppgift 2,1,,,1,,,0m 9.9s
2021-02-05 10:24:19,create,3a - uppgift 9,0,,,0,,,0m 16.4s
2021-02-05 10:23:38,create,3a - uppgift 6,1,,,3,,,0m 39.1s
2021-02-05 10:22:36,create,3a - uppgift 1,0,,,0,,,0m 57.6s
2021-02-05 10:21:43,create,3a - uppgift 1,0,,,0,,,0m 48.0s
2021-02-05 10:20:49,create,1 - uppgift 5,1,,,1,,,0m 13.2s
2021-02-05 10:20:33,create,1 - uppgift 1,1,,,1,,,0m 13.6s
2021-02-05 10:20:11,create,1 - uppgift 4,1,,,1,,,0m 20.1s
2021-02-05 10:19:01,create,1 - uppgift 1,1,,,1,,,1m 5.9s
2021-02-05 10:18:07,create,2 - uppgift 1,1,,,2,,,0m 22.3s
2021-02-05 10:17:40,create,2 - uppgift 4,1,,,2,,,0m 25.0s
2021-02-05 10:17:37,create,2 - uppgift 3,0,,,0,,,0m 1.6s
2021-01-26 12:10:41,create,1 - uppgift 4,1,,,1,,,0m 3.2s
2021-01-26 12:10:24,create,1 - uppgift 7,1,,,1,,,0m 16.0s
2021-01-26 12:09:29,create,3a - uppgift 2,1,,,3,,,0m 49.8s
2021-01-12 10:13:14,create,3a - uppgift 6,1,,,3,,,0m 28.1s
2021-01-12 10:13:02,create,3a - uppgift 1,0,,,0,,,0m 10.5s
2021-01-12 10:11:54,create,3a - uppgift 12,2,,,6,,,1m 5.2s
2021-01-12 10:09:53,create,2 - uppgift 1,3,,,6,,,0m 40.9s
2021-01-12 10:08:43,create,2 - uppgift 4,2,,,4,,,1m 9.0s
2021-01-12 10:08:15,create,3a - uppgift 9,1,,,3,,,0m 23.6s
2021-01-12 10:07:51,create,3a - uppgift 7,1,,,3,,,0m 21.4s
2021-01-12 10:06:04,create,1 - uppgift 4,2,,,2,,,0m 17.3s
2021-01-11 13:31:53,create,3a - uppgift 9,2,,,6,,,0m 54.1s
2021-01-11 13:31:39,create,3a - uppgift 6,0,,,0,,,0m 6.4s
2021-01-11 13:31:18,create,3a - uppgift 1,1,,,3,,,0m 18.5s
2021-01-11 13:30:55,create,3a - uppgift 5,1,,,3,,,0m 21.6s
2021-01-11 13:30:06,create,3a - uppgift 4,2,,,6,,,0m 47.7s
2021-01-11 13:29:32,create,2 - uppgift 2,1,,,2,,,0m 25.6s
2021-01-11 13:28:45,create,2 - uppgift 1,2,,,4,,,0m 43.3s
2021-01-11 13:28:11,create,1 - uppgift 1,0,,,0,,,0m 1.5s
2021-01-11 13:27:57,create,1 - uppgift 1,1,,,1,,,0m 13.3s
2021-01-11 13:27:47,create,2 - uppgift 1,0,,,0,,,0m 3.4s
2021-01-11 13:27:25,create,2 - uppgift 3,0,,,0,,,0m 20.4s
2021-01-11 13:27:14,create,2 - uppgift 1,0,,,0,,,0m 6.3s
2021-01-11 13:27:11,create,2 - uppgift 2,0,,,0,,,0m 1.7s
2021-01-11 13:26:41,create,2 - uppgift 5,0,,,0,,,0m 6.5s
2021-01-11 13:26:31,create,2 - uppgift 4,0,,,0,,,0m 5.8s
2021-01-11 13:26:23,create,2 - uppgift 6,0,,,0,,,0m 6.1s
2021-01-11 13:26:16,create,2 - uppgift 1,0,,,0,,,0m 5.7s
2021-01-11 13:26:12,create,2 - uppgift 1,0,,,0,,,0m 2.8s
2021-01-11 13:26:05,create,2 - uppgift 5,0,,,0,,,0m 3.7s
2021-01-11 13:25:59,create,2 - uppgift 4,0,,,0,,,0m 3.5s
2021-01-11 13:25:50,create,2 - uppgift 6,0,,,0,,,0m 6.8s
2021-01-11 13:25:44,create,2 - uppgift 1,0,,,0,,,0m 3.6s
2021-01-11 13:25:38,create,2 - uppgift 2,0,,,0,,,0m 3.8s
2021-01-11 13:25:29,create,3a - uppgift 9,0,,,0,,,0m 4.1s
2021-01-11 13:25:21,create,3a - uppgift 5,0,,,0,,,0m 5.1s
2021-01-11 13:25:12,create,3a - uppgift 6,0,,,0,,,0m 7.2s
